[2022-02-25 04:46:08] | serviceview_json_create | Starting JSON NonSecure-Project-19,20,24,25-JSON
[2022-02-25 04:46:39] | serviceview_json_create | Starting JSON Project-064-JSON
[2022-02-25 04:47:09] | serviceview_json_create | Starting JSON NetworkView-BLUE_MPLS
[2022-02-25 04:47:39] | serviceview_json_create | Starting JSON Project-34-JSON
[2022-02-25 04:48:09] | serviceview_json_create | Starting JSON NonSecure-NetworkView-THUS_MSPP
[2022-02-25 04:48:39] | serviceview_json_create | Starting JSON nonSecureMsan
[2022-02-25 04:49:09] | serviceview_json_create | Starting JSON NetworkView-THUS_MPLS
[2022-02-25 05:01:26] | serviceview_json_create | All Json creation completed
[2022-02-25 05:01:26] | serviceview_json_create | Temporary File /opt/ontology/scripts/serviceview_json/config/jsonNameList.txt Deleted
[2022-02-25 05:01:26] | serviceview_json_create | JSON Execution Log Updated In DB
[2022-02-25 05:01:26] | serviceview_json_create | Script Execution Completed
